Date,SPX Price,S&P Daily Return,HSI Date,HSI Price,HSI Daily Return,FTSE Date,FTSE 100,FTSE Daily Return
4/1/1984,166.78,0.016703243,4/1/1984,877.26,0.007117765,4/1/1984,998.6,0.001102757
5/1/1984,168.81,0.012171723,5/1/1984,880.99,0.004251875,5/1/1984,1015.8,0.017224114
6/1/1984,169.28,0.002784195,6/1/1984,909.56,0.032429426,6/1/1984,1029,0.012994684
9/1/1984,168.9,-0.002244802,9/1/1984,937.46,0.030674172,9/1/1984,1034.6,0.005442177
10/1/1984,167.95,-0.00562463,10/1/1984,943.34,0.006272268,10/1/1984,1034.3,-0.000289967
11/1/1984,167.79,-0.000952664,11/1/1984,964.47,0.022399135,11/1/1984,1023.4,-0.010538528
12/1/1984,167.75,-0.000238393,12/1/1984,978.58,0.014629797,12/1/1984,1031.3,0.007719367
13/1/1984,167.02,-0.004351714,13/1/1984,975.47,-0.003178074,13/1/1984,1042.7,0.01105401
16/1/1984,167.18,0.000957969,16/1/1984,975.17,-0.000307544,16/1/1984,1046,0.00316486
17/1/1984,167.83,0.003888025,17/1/1984,989.72,0.014920475,17/1/1984,1041.9,-0.003919694
18/1/1984,167.55,-0.001668355,18/1/1984,1018.07,0.028644465,18/1/1984,1058.7,0.016124388
19/1/1984,167.04,-0.003043868,19/1/1984,1021.4,0.003270895,19/1/1984,1057.8,-0.000850099
20/1/1984,166.21,-0.00496887,20/1/1984,1034,0.012336009,20/1/1984,1059,0.00113443
23/1/1984,164.87,-0.00806209,23/1/1984,1055.81,0.021092843,23/1/1984,1046.8,-0.011520302
24/1/1984,165.94,0.006489962,24/1/1984,1035.28,-0.019444786,24/1/1984,1055.2,0.008024455
25/1/1984,164.84,-0.006628902,25/1/1984,1041.88,0.006375087,25/1/1984,1073.5,0.017342684
26/1/1984,164.24,-0.003639893,26/1/1984,1047.57,0.005461282,26/1/1984,1072.1,-0.001304145
27/1/1984,163.94,-0.001826595,27/1/1984,1055.37,0.007445803,27/1/1984,1075.9,0.003544445
30/1/1984,162.87,-0.006526778,30/1/1984,1097.63,0.040042829,30/1/1984,1068.6,-0.006785017
31/1/1984,163.41,0.003315528,31/1/1984,1102.38,0.004327506,31/1/1984,1063,-0.005240502
1/2/1984,162.74,-0.004100116,1/2/1984,1108.54,0.00558791,1/2/1984,1060.3,-0.002539981
2/2/1984,163.36,0.003809758,6/2/1984,1134.12,0.023075396,2/2/1984,1050.8,-0.008959728
3/2/1984,160.91,-0.014997551,7/2/1984,1085.4,-0.042958417,3/2/1984,1059.8,0.008564903
6/2/1984,158.08,-0.017587471,8/2/1984,1078.79,-0.006089921,6/2/1984,1038.2,-0.020381204
7/2/1984,158.74,0.004175101,9/2/1984,1090.08,0.010465429,7/2/1984,1021.7,-0.015892892
8/2/1984,155.85,-0.018205871,10/2/1984,1050.77,-0.036061573,8/2/1984,1029.7,0.007830087
9/2/1984,155.42,-0.002759063,13/2/1984,1062.36,0.011030007,9/2/1984,1016.9,-0.012430805
10/2/1984,156.3,0.005662077,14/2/1984,1088.34,0.024454987,10/2/1984,1018,0.001081719
13/2/1984,154.95,-0.008637236,15/2/1984,1090.65,0.002122498,13/2/1984,1018.3,0.000294695
14/2/1984,156.61,0.010713133,16/2/1984,1084.06,-0.006042268,14/2/1984,1027,0.008543651
15/2/1984,156.25,-0.002298704,17/2/1984,1094.87,0.009971773,15/2/1984,1033,0.005842259
16/2/1984,156.13,-0.000768,20/2/1984,1072.81,-0.020148511,16/2/1984,1035,0.001936108
17/2/1984,155.74,-0.002497918,21/2/1984,1066.91,-0.005499576,17/2/1984,1039,0.003864734
21/2/1984,154.64,-0.007063054,22/2/1984,1047.22,-0.018455165,20/2/1984,1035.4,-0.00346487
22/2/1984,154.31,-0.002133989,23/2/1984,1067.29,0.019165027,21/2/1984,1044.4,0.008692293
23/2/1984,154.29,-0.000129609,24/2/1984,1048.76,-0.017361729,22/2/1984,1043,-0.001340483
24/2/1984,157.51,0.020869791,27/2/1984,1022.85,-0.024705366,23/2/1984,1031.7,-0.010834132
27/2/1984,159.3,0.011364358,28/2/1984,1041.56,0.018292027,24/2/1984,1036.9,0.005040225
28/2/1984,156.82,-0.01556811,29/2/1984,1059.29,0.017022543,27/2/1984,1041.3,0.004243418
29/2/1984,157.06,0.001530417,1/3/1984,1061.4,0.0019919,28/2/1984,1039.2,-0.00201671
1/3/1984,158.19,0.007194703,2/3/1984,1079.63,0.017175429,29/2/1984,1040.3,0.001058507
2/3/1984,159.24,0.006637588,5/3/1984,1102.05,0.020766374,1/3/1984,1046.1,0.005575315
5/3/1984,157.89,-0.008477769,6/3/1984,1091.68,-0.009409736,2/3/1984,1060.7,0.013956601
6/3/1984,156.25,-0.010386978,7/3/1984,1091.44,-0.000219845,5/3/1984,1053.7,-0.006599415
7/3/1984,154.57,-0.010752,8/3/1984,1077.55,-0.012726307,6/3/1984,1064.5,0.010249597
8/3/1984,155.19,0.004011128,9/3/1984,1094.4,0.015637325,7/3/1984,1055.6,-0.008360733
9/3/1984,154.35,-0.00541272,12/3/1984,1087.74,-0.006085526,8/3/1984,1055.8,0.000189466
12/3/1984,156.34,0.012892776,13/3/1984,1086.24,-0.001379006,9/3/1984,1060.1,0.004072741
13/3/1984,156.78,0.002814379,14/3/1984,1099.26,0.011986301,12/3/1984,1063.6,0.003301575
14/3/1984,156.77,-6.37836E-05,15/3/1984,1111.06,0.010734494,13/3/1984,1082.5,0.017769838
15/3/1984,157.41,0.004082414,16/3/1984,1130.69,0.017667813,14/3/1984,1087.7,0.004803695
16/3/1984,159.27,0.011816276,19/3/1984,1170.35,0.035075927,15/3/1984,1101.1,0.012319573
19/3/1984,157.78,-0.009355183,20/3/1984,1169.12,-0.001050968,16/3/1984,1128.5,0.024884207
20/3/1984,158.86,0.006844974,21/3/1984,1157.29,-0.010118722,19/3/1984,1109.7,-0.016659282
21/3/1984,158.66,-0.00125897,22/3/1984,1156.07,-0.001054187,20/3/1984,1123.3,0.012255565
22/3/1984,156.69,-0.012416488,23/3/1984,1161.65,0.004826697,21/3/1984,1130.7,0.006587733
23/3/1984,156.86,0.001084945,26/3/1984,1156.95,-0.004045969,22/3/1984,1117.2,-0.011939507
