Return,Index
0.184,SPX
0.3149,SPX
-0.0438,SPX
0.2183,SPX
0.1196,SPX
0.0138,SPX
0.1369,SPX
0.3239,SPX
0.16,SPX
0.0211,SPX
0.1506,SPX
0.2646,SPX
-0.37,SPX
0.0549,SPX
0.1579,SPX
0.0491,SPX
0.1088,SPX
0.2868,SPX
-0.221,SPX
-0.1189,SPX
-0.091,SPX
0.2104,SPX
0.2858,SPX
0.3336,SPX
0.2296,SPX
0.3758,SPX
0.0132,SPX
0.1008,SPX
0.0762,SPX
0.3047,SPX
-0.031,SPX
0.3169,SPX
0.1661,SPX
0.0525,SPX
-0.154924198,FTSE
0.135273843,FTSE
-0.125,FTSE
0.158,FTSE
0.144,FTSE
-0.049,FTSE
-0.027,FTSE
0.144,FTSE
0.058,FTSE
-0.056,FTSE
0.09,FTSE
0.221,FTSE
-0.309,FTSE
0.021,FTSE
0.097,FTSE
0.181,FTSE
0.087,FTSE
0.124,FTSE
-0.234,FTSE
-0.147,FTSE
-0.065,FTSE
0.062,FTSE
0.164,FTSE
0.254,FTSE
0.131,FTSE
0.215,FTSE
-0.111,FTSE
0.244,FTSE
0.087,FTSE
0.237,FTSE
-0.125,FTSE
0.258,FTSE
0.043,FTSE
0.001,FTSE
-0.034,HSI
0.0907,HSI
-0.1361,HSI
0.3599,HSI
0.0039,HSI
-0.0716,HSI
0.0128,HSI
0.0287,HSI
0.2291,HSI
-0.1997,HSI
0.0532,HSI
0.5202,HSI
-0.4827,HSI
0.3931,HSI
0.342,HSI
0.0454,HSI
0.1315,HSI
0.3492,HSI
-0.1821,HSI
-0.245,HSI
-0.11,HSI
0.688,HSI
-0.0629,HSI
-0.2029,HSI
0.3353,HSI
0.2298,HSI
-0.311,HSI
1.1567,HSI
0.2828,HSI
0.4211,HSI
0.0661,HSI
0.0555,HSI
0.167,HSI
-0.1034,HSI
