HSBC,CLP,CK
65.698883,55.751987,87.126175
65.384521,56.167412,87.003082
65.738159,56.972832,89.464378
65.463112,56.633709,88.234154
65.698883,56.294582,87.188179
65.188057,55.87067,86.941948
64.637955,55.44677,85.280342
64.952301,55.107647,85.895706
64.913002,55.065258,85.58802
64.834404,54.64135,85.034218
64.71653,54.726128,84.726616
65.148758,54.895695,84.542038
65.070175,54.683743,83.557518
66.17038,54.175056,84.234352
65.659576,53.920708,83.188354
65.109459,54.090271,82.880669
64.677254,53.963108,83.188354
64.59864,53.5392,83.434494
64.559372,54.132664,82.880669
63.419846,53.200073,79.804169
62.51609,52.860947,78.696724
61.808807,53.072899,78.819748
62.162453,53.157692,80.604126
62.123158,54.302227,81.46553
62.20174,54.175056,80.419548
62.71257,54.683743,81.46553
61.612335,54.005497,80.296432
61.455166,54.980469,80.54258
61.769524,54.853302,80.665596
61.769524,55.277206,81.034828
61.02293,55.319603,79.558044
61.219398,55.065258,80.604126
60.944351,55.277206,79.927292
61.101524,55.57394,79.988838
61.612335,55.913059,81.896248
61.9104,55.489151,82.203842
61.870724,55.404385,82.080818
62.148537,55.150043,81.588562
62.58506,56.08263,82.634544
62.743805,56.294582,83.619072
62.267586,56.33696,84.111336
62.58506,56.59132,84.665062
62.426319,56.379368,84.788155
62.108826,56.464149,83.37294
61.83102,56.803261,82.634544
61.989784,56.88805,82.880669
61.870724,56.930439,83.249916
61.989784,57.100002,85.280342
61.950096,57.311951,85.034218
62.307274,57.100002,84.972733
62.069145,57.651073,85.526474
61.791336,57.608688,86.387535
61.553226,57.269558,85.83416
61.275429,56.379368,85.034218
61.156361,56.464149,84.603508
60.997616,56.08263,84.788155
60.71981,56.252193,84.972733
61.196053,56.421753,87.987946
61.156361,56.506538,88.357277
61.870724,57.184776,88.602623
61.553226,56.676083,88.172173
61.156361,57.184776,87.556641
60.402332,56.125019,84.84964
60.640438,56.885765,85.280342
60.75951,56.201942,84.726616
61.235744,56.37289,84.542038
61.156361,57.099476,85.711052
61.394478,56.586594,85.095764
60.799191,56.415638,83.680618
60.680126,55.945515,83.311378
60.164207,55.902775,81.71167
59.648289,56.030994,81.034828
58.814888,55.475384,79.496574
57.624306,55.389908,78.4506
57.58461,55.347168,77.466072
57.267132,55.43264,78.573608
58.259277,55.988243,79.681152
58.814888,56.843029,79.804169
58.933949,56.757553,79.927292
58.933949,57.655079,79.988838
59.489555,57.911514,81.034828
58.814888,57.355907,80.111855
58.735512,57.484131,80.173409
58.735512,57.484131,81.034828
57.862404,56.501122,80.234894
56.949635,55.988243,78.142906
56.35434,56.287422,77.466072
56.513088,56.501122,77.281487
56.433712,57.099476,76.78923
56.433712,57.398643,88.111046
56.592461,57.655079,88.234154
56.235275,57.911514,87.618622
56.036846,58.082462,87.74173
55.719364,58.253433,86.818855
55.520931,58.552601,86.326424
55.719364,58.680813,86.756866
56.036846,58.680813,86.510651
57.068691,58.424374,87.065063
58.021156,58.766296,89.710602
57.624306,58.979984,89.464378
58.179905,58.979984,88.725746
57.941788,59.108223,89.403252
57.386177,59.407383,89.464378
57.505249,59.150948,91.372139
56.552769,58.979984,92.048798
56.751209,58.338909,91.556366
57.465561,58.338909,90.694618
57.306805,57.697811,90.141045
57.822723,57.868767,92.356148
57.783051,57.441383,91.372139
57.029011,57.612347,91.679466
55.759045,57.826038,92.848564
56.195595,57.526863,91.679466
56.949635,57.697811,92.233032
56.909943,57.441383,93.217896
57.187748,57.911514,93.402153
57.108379,58.253433,93.525238
57.148064,58.16795,93.771461
55.124069,58.467125,93.094788
55.600307,59.108223,93.525238
55.481251,59.236427,94.140778
55.401878,59.621075,94.44812
55.203449,58.552601,96.232758
55.362183,58.16795,95.92543
55.401878,57.826038,94.940544
55.117786,57.868767,94.263885
55.03661,57.441383,93.648338
54.062511,57.056728,93.833443
54.468384,57.270412,94.201904
53.53487,56.879951,94.964134
53.210178,56.012207,94.964134
52.76371,56.489468,94.964134
52.479603,56.879951,97.711441
52.804302,56.879951,97.711441
53.494293,57.010094,98.633286
54.062511,57.400585,99.218994
53.940746,56.836552,98.697945
54.671318,57.27042,98.047562
54.468384,57.921223,98.567696
54.671318,58.051376,100.71653
54.671318,58.094765,101.693031
54.671318,58.138149,102.409012
54.346611,58.051376,104.492264
54.103104,58.788963,103.385498
54.021927,57.357197,103.646011
54.387211,56.793167,103.776276
55.401894,57.921223,102.409012
55.645416,58.702187,107.878105
56.173054,59.179436,109.11512
