,Country,beta,SD,x_min,SD,ntail,GOF,pvalue,alpha_LS,beta_LS,R2,ntail
1,Brazil,1.848759875,0.232011798,1290,647.3559503,22,0.105579895,0.79,9.083289955,0.824926805,0.97128934,22
2,Canada,1.387312662,0.1993648,120,291.4242775,9,0.149423025,0.94,3.978742217,0.347079833,0.956314169,9
3,China,1.724549842,0.631342238,127,181.1458397,27,0.178431045,0.04,6.225012916,0.616356285,0.860081775,27
4,China_Excl_Hubei,1.839372314,0.916284265,127,212.7107608,26,0.21334499,0,8.008732113,0.937147297,0.832450572,26
5,Germany,1.916690662,0.247663676,2556,1231.322068,13,0.145048192,0.76,8.287099198,0.733176938,0.936472384,13
6,India,1.768414504,0.265264456,696,315.0051306,15,0.189667017,0.13,7.597519803,0.731271926,0.940500544,15
7,Italy,1.882005819,0.419611762,2572,1508.827431,15,0.097452178,1,8.77500755,0.769534528,0.984634769,15
8,Malaysia,1.807597578,0.36751147,89,107.4738451,14,0.146154129,0.6,6.190978184,0.767594419,0.936414189,14
9,Mexico,2.225569996,0.438386771,582,144.5724299,15,0.096001015,0.94,8.483739354,0.922332942,0.976420989,15
10,Netherlands,3.576280874,0.923088248,4408,1818.59552,5,0.223044576,0.78,18.07656284,1.94995293,0.859715072,5
11,Romania,2.975373547,1.164017043,379,166.3002323,16,0.14515655,0.43,10.68551783,1.361054776,0.90147877,16
12,Russia,2.493990719,0.429564194,772,145.4354048,54,0.119929579,0.05,10.10111243,0.964532792,0.846035441,54
13,Spain,2.395036177,0.542127773,9291,3797.002886,8,0.166631405,0.65,10.32886471,0.913707908,0.923615889,8
14,Sweden,2.565478039,0.868107301,805,316.9501442,11,0.150374301,0.73,8.759405707,0.978071143,0.920873061,11
15,UK,3.898696753,0.54433378,12366,3102.075127,6,0.171410507,1,22.38452926,2.179217734,0.938237527,6
16,USA,1.844640173,0.168755648,6150,2548.989793,36,0.117251535,0.81,11.24458601,0.866537275,0.96882657,36
