Date,HSBC,CLP,CK
4/1/1999,31.43,24.18,29.08
5/1/1999,31.54,24.35,28.76
6/1/1999,32.84,24.43,30.67
7/1/1999,35.43,24.52,33.38
8/1/1999,35.66,25.1,33.22
11/1/1999,35.19,25.18,32.9
12/1/1999,35.66,25.68,33.22
13/1/1999,33.9,24.92,31.15
14/1/1999,34.48,24.42,30.51
15/1/1999,33.31,24.25,30.35
18/1/1999,34.72,24.25,31.79
19/1/1999,34.95,23.83,31.95
20/1/1999,35.43,23.5,31.47
21/1/1999,34.25,22.83,30.03
22/1/1999,33.54,22.58,29.08
25/1/1999,32.48,22.08,28.28
26/1/1999,32.48,22.58,28.76
27/1/1999,33.07,23.17,29.56
28/1/1999,31.54,22.25,28.28
29/1/1999,32.6,22.33,28.44
1/2/1999,33.54,22.42,28.76
2/2/1999,32.6,22.25,27.96
3/2/1999,32.6,22.25,27
4/2/1999,32.84,23,27
5/2/1999,31.66,22.83,25.92
8/2/1999,31.43,23.17,25.41
9/2/1999,31.54,23.75,25.67
10/2/1999,30.84,23.08,24.71
11/2/1999,31.07,22.58,25.41
12/2/1999,32.37,23.5,26.37
15/2/1999,32.72,23.17,26.69
19/2/1999,33.78,22.58,25.67
22/2/1999,33.31,22.67,25.79
23/2/1999,35.66,23.08,26.37
24/2/1999,36.84,23.33,27.16
25/2/1999,37.31,23.17,26.85
26/2/1999,38.48,23.42,27.8
1/3/1999,39.66,22.9,28.92
2/3/1999,38.72,23.32,28.28
3/3/1999,38.72,23.48,27.96
4/3/1999,38.72,23.4,27.8
5/3/1999,40.84,23.32,28.44
8/3/1999,41.56,23.65,28.76
9/3/1999,42.98,24.9,29.72
10/3/1999,44.39,25.07,30.67
11/3/1999,43.68,24.65,30.35
12/3/1999,44.39,24.9,30.83
15/3/1999,44.39,24.9,32.27
16/3/1999,44.62,24.73,32.43
17/3/1999,45.33,24.23,32.9
18/3/1999,43.92,23.4,31.79
19/3/1999,46.04,24.98,33.22
22/3/1999,45.56,24.9,33.7
23/3/1999,45.09,24.57,33.54
24/3/1999,43.45,23.65,32.11
25/3/1999,44.39,24.07,31.95
26/3/1999,45.33,23.57,30.51
29/3/1999,45.09,23.9,29.87
30/3/1999,46.04,24.4,31.63
31/3/1999,45.8,24.32,31.79
1/4/1999,46.98,24.57,32.43
7/4/1999,50.51,24.73,34.66
8/4/1999,51.92,24.15,34.98
9/4/1999,52.15,24.32,36.41
12/4/1999,51.21,24.07,35.46
13/4/1999,52.15,24.07,35.93
14/4/1999,51.68,24.32,35.46
15/4/1999,52.15,24.15,35.46
16/4/1999,53.8,24.73,37.05
19/4/1999,54.51,25.57,38.17
20/4/1999,53.8,25.07,36.73
21/4/1999,54.04,25.65,37.53
22/4/1999,55.45,26.23,38.48
23/4/1999,55.21,25.82,37.37
26/4/1999,55.45,26.9,38.48
27/4/1999,56.39,28.23,39.28
28/4/1999,55.68,27.82,38.64
29/4/1999,56.39,28.07,38.17
30/4/1999,56.39,27.98,39.12
3/5/1999,55.92,27.4,38.96
4/5/1999,57.09,27.65,39.92
5/5/1999,55.45,28.23,40.08
6/5/1999,54.98,27.32,39.76
7/5/1999,52.15,25.65,38.17
10/5/1999,52.15,26.57,39.12
