Date,Price
4/1/1984,998.6
5/1/1984,1015.8
6/1/1984,1029
9/1/1984,1034.6
10/1/1984,1034.3
11/1/1984,1023.4
12/1/1984,1031.3
13/1/1984,1042.7
16/1/1984,1046
17/1/1984,1041.9
18/1/1984,1058.7
19/1/1984,1057.8
20/1/1984,1059
23/1/1984,1046.8
24/1/1984,1055.2
25/1/1984,1073.5
26/1/1984,1072.1
27/1/1984,1075.9
30/1/1984,1068.6
31/1/1984,1063
1/2/1984,1060.3
2/2/1984,1050.8
3/2/1984,1059.8
6/2/1984,1038.2
7/2/1984,1021.7
8/2/1984,1029.7
9/2/1984,1016.9
10/2/1984,1018
13/2/1984,1018.3
14/2/1984,1027
15/2/1984,1033
16/2/1984,1035
17/2/1984,1039
20/2/1984,1035.4
21/2/1984,1044.4
22/2/1984,1043
23/2/1984,1031.7
24/2/1984,1036.9
27/2/1984,1041.3
28/2/1984,1039.2
29/2/1984,1040.3
1/3/1984,1046.1
2/3/1984,1060.7
5/3/1984,1053.7
6/3/1984,1064.5
7/3/1984,1055.6
8/3/1984,1055.8
9/3/1984,1060.1
12/3/1984,1063.6
13/3/1984,1082.5
14/3/1984,1087.7
15/3/1984,1101.1
16/3/1984,1128.5
19/3/1984,1109.7
20/3/1984,1123.3
21/3/1984,1130.7
22/3/1984,1117.2
23/3/1984,1121.3
26/3/1984,1119.7
27/3/1984,1101.9
28/3/1984,1103.6
29/3/1984,1113.6
30/3/1984,1112.5
2/4/1984,1108.1
3/4/1984,1095.4
4/4/1984,1093.6
5/4/1984,1102.2
6/4/1984,1096.3
9/4/1984,1096.7
10/4/1984,1105.4
11/4/1984,1110.6
12/4/1984,1117
13/4/1984,1129.1
16/4/1984,1105.6
17/4/1984,1110.2
18/4/1984,1116.2
19/4/1984,1108.4
24/4/1984,1105.4
25/4/1984,1119.8
26/4/1984,1130.9
27/4/1984,1138.2
30/4/1984,1138.3
1/5/1984,1136.8
2/5/1984,1140.1
3/5/1984,1141.6
4/5/1984,1134
8/5/1984,1117.6
9/5/1984,1109.9
10/5/1984,1094.4
11/5/1984,1078.7
14/5/1984,1082.4
15/5/1984,1094.6
16/5/1984,1104.5
17/5/1984,1113
18/5/1984,1104.9
21/5/1984,1108.7
22/5/1984,1084.6
23/5/1984,1075.4
24/5/1984,1051.6
25/5/1984,1055.5
29/5/1984,1056.1
30/5/1984,1026.6
31/5/1984,1021
1/6/1984,1055.8
4/6/1984,1078
5/6/1984,1077.8
6/6/1984,1087.9
7/6/1984,1072
8/6/1984,1068.6
11/6/1984,1075.9
12/6/1984,1067.1
13/6/1984,1064.7
14/6/1984,1043.8
15/6/1984,1040.1
18/6/1984,1042.6
19/6/1984,1056
20/6/1984,1035.6
21/6/1984,1041.6
22/6/1984,1033.1
25/6/1984,1033.1
26/6/1984,1024.3
27/6/1984,1038.3
28/6/1984,1029.3
29/6/1984,1041.4
2/7/1984,1047.6
3/7/1984,1050.2
4/7/1984,1063.3
5/7/1984,1062.7
6/7/1984,1042.3
9/7/1984,1033.5
10/7/1984,1014.4
11/7/1984,1001.7
12/7/1984,991.4
13/7/1984,995.8
16/7/1984,1003
17/7/1984,1007.8
18/7/1984,1009
