Date,Price
4/1/1984,877.26
5/1/1984,880.99
6/1/1984,909.56
9/1/1984,937.46
10/1/1984,943.34
11/1/1984,964.47
12/1/1984,978.58
13/1/1984,975.47
16/1/1984,975.17
17/1/1984,989.72
18/1/1984,1018.07
19/1/1984,1021.4
20/1/1984,1034
23/1/1984,1055.81
24/1/1984,1035.28
25/1/1984,1041.88
26/1/1984,1047.57
27/1/1984,1055.37
30/1/1984,1097.63
31/1/1984,1102.38
1/2/1984,1108.54
6/2/1984,1134.12
7/2/1984,1085.4
8/2/1984,1078.79
9/2/1984,1090.08
10/2/1984,1050.77
13/2/1984,1062.36
14/2/1984,1088.34
15/2/1984,1090.65
16/2/1984,1084.06
17/2/1984,1094.87
20/2/1984,1072.81
21/2/1984,1066.91
22/2/1984,1047.22
23/2/1984,1067.29
24/2/1984,1048.76
27/2/1984,1022.85
28/2/1984,1041.56
29/2/1984,1059.29
1/3/1984,1061.4
2/3/1984,1079.63
5/3/1984,1102.05
6/3/1984,1091.68
7/3/1984,1091.44
8/3/1984,1077.55
9/3/1984,1094.4
12/3/1984,1087.74
13/3/1984,1086.24
14/3/1984,1099.26
15/3/1984,1111.06
16/3/1984,1130.69
19/3/1984,1170.35
20/3/1984,1169.12
21/3/1984,1157.29
22/3/1984,1156.07
23/3/1984,1161.65
26/3/1984,1156.95
27/3/1984,1131.25
28/3/1984,1118.85
29/3/1984,1057.09
30/3/1984,1014.38
2/4/1984,1023.96
3/4/1984,1033.19
5/4/1984,1083.67
6/4/1984,1064.32
9/4/1984,1070.27
10/4/1984,1096.12
11/4/1984,1088.9
12/4/1984,1091.41
13/4/1984,1075.7
16/4/1984,1075.48
17/4/1984,1088.12
18/4/1984,1090.2
19/4/1984,1115.85
24/4/1984,1070.02
25/4/1984,1082.72
26/4/1984,1070.7
27/4/1984,1054.3
30/4/1984,1037.06
1/5/1984,1034.73
2/5/1984,1032.64
3/5/1984,1004.61
4/5/1984,1004.79
7/5/1984,953.7
8/5/1984,969.65
9/5/1984,939.71
10/5/1984,921.31
11/5/1984,928.32
14/5/1984,908.72
15/5/1984,924.07
16/5/1984,949.32
17/5/1984,933.72
18/5/1984,895.73
21/5/1984,893.01
22/5/1984,923.77
23/5/1984,912.15
24/5/1984,923
25/5/1984,902.79
28/5/1984,919.31
29/5/1984,923.03
30/5/1984,928.6
31/5/1984,915.3
1/6/1984,917.5
5/6/1984,932.44
