fips,name,area,pop.2000,pop.2010
1001,Autauga County,594.44,43671,54571
1003,Baldwin County,1589.78,140415,182265
1005,Barbour County,884.88,29038,27457
1007,Bibb County,622.58,20826,22915
1009,Blount County,644.78,51024,57322
1011,Bullock County,622.8,11714,10914
1013,Butler County,776.83,21399,20947
1015,Calhoun County,605.87,112249,118572
1017,Chambers County,596.53,36583,34215
1019,Cherokee County,553.7,23988,25989
1021,Chilton County,692.85,39593,43643
1023,Choctaw County,913.5,15922,13859
1025,Clarke County,1238.46,27867,25833
1027,Clay County,603.96,14254,13932
1029,Cleburne County,560.1,14123,14972
1031,Coffee County,678.97,43615,49948
1033,Colbert County,592.62,54984,54428
1035,Conecuh County,850.16,14089,13228
1037,Coosa County,650.93,12202,11539
1039,Covington County,1030.46,37631,37765
1041,Crenshaw County,608.84,13665,13906
1043,Cullman County,734.84,77483,80406
1045,Dale County,561.15,49129,50251
1047,Dallas County,978.69,46365,43820
1049,DeKalb County,777.09,64452,71109
1051,Elmore County,618.48,65874,79303
1053,Escambia County,945.08,38440,38319
1055,Etowah County,534.99,103459,104430
1057,Fayette County,627.66,18495,17241
1059,Franklin County,633.82,31223,31704
1061,Geneva County,574.41,25764,26790
1063,Greene County,647.11,9974,9045
1065,Hale County,643.94,17185,15760
1067,Henry County,561.75,16310,17302
1069,Houston County,579.82,88787,101547
1071,Jackson County,1077.87,53926,53227
1073,Jefferson County,1111.28,662047,658466
1075,Lamar County,604.85,15904,14564
1077,Lauderdale County,667.7,87966,92709
1079,Lawrence County,690.68,34803,34339
1081,Lee County,607.54,115092,140247
1083,Limestone County,559.94,65676,82782
1085,Lowndes County,715.91,13473,11299
1087,Macon County,608.89,24105,21452
1089,Madison County,801.59,276700,334811
1091,Marengo County,976.88,22539,21027
1093,Marion County,742.29,31214,30776
1095,Marshall County,565.84,82231,93019
1097,Mobile County,1229.44,399843,412992
1099,Monroe County,1025.67,24324,23068
1101,Montgomery County,784.25,223510,229363
1103,Morgan County,579.34,111064,119490
1105,Perry County,719.66,11861,10591
1107,Pickens County,881.41,20949,19746
1109,Pike County,672.09,29605,32899
1111,Randolph County,580.55,22380,22913
1113,Russell County,641.14,49756,52947
1115,St. Clair County,631.9,64742,83593
1117,Shelby County,784.93,143293,195085
1119,Sumter County,903.89,14798,13763
1121,Talladega County,736.78,80321,82291
1123,Tallapoosa County,716.52,41475,41616
1125,Tuscaloosa County,1321.75,164875,194656
1127,Walker County,791.19,70713,67023
1129,Washington County,1080.21,18097,17581
1131,Wilcox County,888.5,13183,11670
1133,Winston County,612.98,24843,24484
2013,Aleutians East Borough,6981.94,2697,3141
2016,Aleutians West Census Area,4390.28,5465,5561
2020,Anchorage Municipality,1704.68,260283,291826
2050,Bethel Census Area,40570,16006,17013
2060,Bristol Bay Borough,503.84,1258,997
2068,Denali Borough,12751.41,1893,1826
2070,Dillingham Census Area,18568.78,4922,4847
2090,Fairbanks North Star Borough,7338.21,82840,97581
2100,Haines Borough,2318.6,2392,2508
2105,Hoonah-Angoon Census Area,7524.91,NA,2150
2110,Juneau City and Borough,2701.93,30711,31275
2122,Kenai Peninsula Borough,16075.33,49691,55400
